id,text,language,category,is_synthetic
1,हमारे गांव के स्कूल में शिक्षक नहीं आते,hi,Education,False
2,Farmers are not receiving fertilizer,en,Agriculture,False
3,hospital mein doctor available nahi hai,hinglish,Healthcare,False
4,गांव में पीने का पानी नहीं है,hi,Water Resources,False
5,There is too much garbage near our village,en,Environment,False
6,हमारे इलाके में रोज बिजली कट जाती है,hi,Energy,False
7,गांव की मुख्य सड़क पर बहुत बड़े गड्ढे हैं,hi,Urban Development,False
8,सरकारी भवन में wheelchair के लिए ramp नहीं है,hinglish,Accessibility,False
9,मेरा सरकारी प्रमाणपत्र कई दिनों से लंबित है,hi,Public Administration,False
10,गांव में रोजगार के अवसर नहीं हैं,hi,Rural Livelihoods,False
11,मेरे गांव की सड़क बारिश के बाद पूरी तरह खराब हो गई है,hi,Urban Development,False
12,hospital mein emergency ke time doctor available nahi tha,hinglish,Healthcare,False
13,Farmers in our area are facing problems getting seeds,en,Agriculture,False
14,हमारे स्कूल में पिछले तीन महीने से विज्ञान शिक्षक नहीं हैं,hi,Education,False
15,gaon mein transformer kharab hone ki wajah se light nahi hai,hinglish,Energy,False
16,सरकारी कार्यालय में मेरा जाति प्रमाणपत्र अभी तक नहीं बना,hi,Public Administration,False
17,There is no accessible entrance for wheelchair users,en,Accessibility,False
18,हमारे गांव के पास कचरा खुले में जलाया जा रहा है,hi,Environment,False
19,पानी की पाइपलाइन कई जगह से टूट गई है,hi,Water Resources,False
20,महिलाओं के लिए गांव में रोजगार के अवसर बहुत कम हैं,hi,Rural Livelihoods,False
21,there is no option to download birth certificate very BAD... they say online but nothing is there....,en,Public Administration,False
22,या ऐप मुलं सरकारी काम सुरत झाले आहेत,hi,Public Administration,False
23,my bmc app is of no use. It never gives details of water bills. wrost service.,en,Water Resources,False
24,"App is as corrupt as BMC officials and corporators, doesnt work at all",en,Public Administration,False
25,Water bill is not showing on dashboard from 3 months please help service is enable soon,en,Water Resources,False
26,how can I get the life certificate,en,Public Administration,False
27,I didn't find any details regarding BMC schools and education department in BMC.,en,Education,False
28,I am retired employee and I want to see my life certificate submitted status but I after entering my E.C. app not showing details or any message. Balkrishna Bhogate Retd. Asst. Engg. MCGM,hinglish,Public Administration,False
29,Worst experience. App is not able to recognize the Water Bill CCN number despite various attempts.,en,Water Resources,False
30,Pathetic app won't be able to register my self for water bill from last 3 months even no options are available if is there any issue,en,Water Resources,False
