app_name,app_id,review_id,user_name,rating,content,thumbs_up,app_version,at,reply_content
MCGM 24x7,in.cdac.gov.mgov.mcgm,a44d585d-2778-4155-a36f-1724615423cd,Mahendra Gupta,5,Very good,0,8.1,2024-03-24 10:45:04,
MCGM 24x7,in.cdac.gov.mgov.mcgm,7ac33e9c-dd49-4e25-8e07-4c52a62ec543,Bhuneshwar Sharma,5,Nice to meet you yaar hamaar babuaa bhuneswar,0,8.1,2024-03-17 19:08:55,
MCGM 24x7,in.cdac.gov.mgov.mcgm,97e2e124-9fb1-4b0b-8b82-19fb7884e0e1,Suhbhash Raut,5,महत्वाचे अँप आहे . सर्वकाम अँप च्या मार्फत सोईस्कर होत.,1,8.1,2024-02-15 18:12:06,
MCGM 24x7,in.cdac.gov.mgov.mcgm,1712980d-0b64-4e85-aaf0-635240501418,ramprasad77@gmail.com ramprasad,4,Good,3,3.10,2021-07-10 14:51:29,
MCGM 24x7,in.cdac.gov.mgov.mcgm,7976e27c-1b4d-4353-9b9e-858d5ffec9d0,Shantilal Gopavat,5,Good,3,3.10,2021-01-22 11:35:57,
MCGM 24x7,in.cdac.gov.mgov.mcgm,f53d9fbc-a75e-477e-9b6f-a7c47dd3b2ee,Google उपयोगकर्ता,5,Ok,0,,2018-12-10 12:55:38,
MCGM 24x7,in.cdac.gov.mgov.mcgm,e803fe2f-d1b2-4a9b-8e5c-5eae9cd426e0,Google उपयोगकर्ता,1,भाई मेरे पहले जो है। उसको तो सही ढंग से चला ले। बाद मे कूछ नया करना।,2,2.7,2017-06-30 08:03:10,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,38aab619-8f35-4fbf-b4b8-f80369e6289a,Pappuram Jakhar,1,bekar hai kuch kam nhi kr rha hai,1,2.10.7,2026-08-31 09:50:06,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,4d46be1b-b3aa-4321-a0fd-e6bede1240ad,Krishna Rajput,1,fake aap,0,2.10.7,2026-08-15 11:05:50,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,dec4c67a-32bf-4447-ab52-7f40e538b438,Vinod Singh,1,"लॉगिन ही नहीं हो रहा हे। कई दिनों से ट्राई कर रहा हूँ, लेकिन लॉगिन के लिए ओटीपी ही नहीं आ रहा है, जिस कारण लॉगिन करने में परेशानी आ रही हे। ऐप को अपडेट कीजिए।",1,,2026-07-10 15:11:15,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,71fee1ce-49f6-462f-8965-d910d92c8716,Suraj kourav Kourav,5,so good,0,2.10.6,2026-05-27 06:20:58,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,bd2a4d31-07d3-499b-a9a4-b6f435b105ea,parvin Kumar,1,bilkul gatiya app h koi kaam ka nhi h faltu h,3,2.10.6,2026-05-18 09:53:05,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,2807c4a7-27d2-48de-87b0-193d1f43399f,विनय अरुण,5,काफी बेहतरीन ऐप है।,1,2.10.6,2026-05-15 14:13:34,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,b02b9e89-2c2c-4996-a6dd-638e926faa5c,raju434 raju434,5,बहुत अच्छा लगा,0,2.10.6,2026-05-14 16:24:39,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,def96be7-bb5e-40b1-a654-55b8800a0e54,Narendra Singh Gurjar Gurjar,5,ठीक है,0,2.10.6,2026-05-14 05:23:21,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,17a3ada8-e6dc-4742-9105-9b317117e945,GOPAL KEER,5,यह तो बहुत ही मजेदार चीज है भाई मुझे तो आज ही पता चला इसके बारे में यह तो सब लोगों को यह तो सब लोगों को लेना चाहिए,2,2.10.5,2026-05-01 22:48:56,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,1d9a16ac-eaa8-4cfd-9c89-b00859642117,Bajrang Bairwa,1,यह ऐप फेंक हैं मैं इस है पर कचरा साफ करने के लिए फोटो डाली लेकिन आज उसे फोटो को एक सप्ताह हो गया फिर भी और कचरा साफ नहीं हुआ है यह ऐप फेंक है इसे डाउनलोड ना करें बिल्कुल बिल्कुल घटिया है स्वच्छता के नाम पर धब्बा है इसे बिल्कुल डाउनलोड ना करें,6,2.10.5,2026-03-29 09:05:18,
Swachhata-MoHUA,com.ichangemycity.swachhbharat,457ed97f-2973-4ac7-8857-778805aca254,Kuldeep Shukla,5,very Good Work,0,2.10.5,2026-03-14 12:01:02,
