app_name,app_id,review_id,user_name,rating,content,thumbs_up,app_version,at,reply_content
MCGM 24x7,in.cdac.gov.mgov.mcgm,4f5d8645-7a90-4522-9678-f3d435bbc7b6,A Google user,1,"after updating to version 8.76, the app is not working at all. It doesn't allow Login, &says Network Not Available. It doesn't allow New Registration also. It seems your IT Department is Not Working .",3,8.76,2026-08-30 18:38:10,
MCGM 24x7,in.cdac.gov.mgov.mcgm,ec52195d-1b21-4c84-8d85-c8cb711a8de4,A Google user,1,"worst app ever came across,unable to login even after several attempts.. Don't rely on this app,it's better to visit ur ward if having any issues or service required",0,8.76,2026-08-26 19:29:31,
MCGM 24x7,in.cdac.gov.mgov.mcgm,641761cb-e717-4cd9-99d8-92d23e215c9d,A Google user,1,app doesn't works,0,8.76,2026-08-24 08:08:42,
MCGM 24x7,in.cdac.gov.mgov.mcgm,be10ceed-991f-47a7-adc0-febb7810cbf1,A Google user,1,"App not working, Still showing check internet over wifi",1,8.76,2026-08-22 12:47:09,
MCGM 24x7,in.cdac.gov.mgov.mcgm,49929cac-6ace-4c64-a0fd-760e279f2079,A Google user,1,Worst app in the world does not found data issue server problems after all its a government app Editing the above review after 6 years still this apps condition is same also now some new issues it is showing not connected to internet while trying to login from phone number while youtube is running in my phone smoothly. BMC IT team ashamed to pay you our hard earned tax money. sudhar jao yaar.,0,8.76,2026-08-19 00:20:50,
MCGM 24x7,in.cdac.gov.mgov.mcgm,487fb1b9-209a-4d03-9395-a8d7d9de5328,A Google user,2,not working since months for rent payment giving internet connection error please resolve the issue asap i am using this feature for couple of years but unable to use in last month due to error,0,8.76,2026-08-17 07:13:33,
MCGM 24x7,in.cdac.gov.mgov.mcgm,1baae2c4-1c9b-4ea4-9891-0aba5694db0a,A Google user,1,there is no option to download birth certificate very BAD... they say online but nothing is there....,0,8.75,2026-08-13 13:36:55,
MCGM 24x7,in.cdac.gov.mgov.mcgm,37ac2a25-5735-4bb2-afa6-73eebb273e46,A Google user,1,Not working from the last couple of days. it is showing no internet connection however I already have it,0,8.75,2026-08-12 15:20:48,
MCGM 24x7,in.cdac.gov.mgov.mcgm,bacaf8b5-b986-4bbe-ba52-4cca9c894462,A Google user,1,not working,0,8.73,2026-08-05 09:25:23,
MCGM 24x7,in.cdac.gov.mgov.mcgm,1e8c67ad-183f-4535-bb0d-c8c6524d5186,A Google user,1,“The app does not provide any help. It is a fake and useless app. People should be careful and not trust it. totally downloading app waste I'm disappointed so much plz report this app guys,2,8.61,2026-08-02 01:26:27,
MCGM 24x7,in.cdac.gov.mgov.mcgm,9a7cd189-6c37-4ba6-873a-e3585e4cf08f,A Google user,1,Its 0 class app not a single thing happen properly dont waste ur time still it's same in 2018 I had. Mentioned but no change has done still no changes,3,6.0,2026-07-20 10:21:41,
MCGM 24x7,in.cdac.gov.mgov.mcgm,8b8f0fb9-2942-48e7-924b-d1f18c9017ac,A Google user,1,"Nothing works either in this app or their website. Tried searching Property tax account, it doesn't even open mobile keyboard to type & expects us to type account number, how do we type account number if mobile keyboard doesn't popup on the page and box to type account number?. Why waste tax payers money on app & website when nothing works.",10,8.72,2026-07-14 16:39:20,
MCGM 24x7,in.cdac.gov.mgov.mcgm,62fdda2f-a4af-4669-98a7-82862fd198a2,A Google user,1,"App not working properly,",0,8.72,2026-07-12 14:10:52,
MCGM 24x7,in.cdac.gov.mgov.mcgm,ec80a0ff-e848-41d4-95d2-57680848896d,A Google user,5,Only 5lakh plus download why don't they promote this app in schools or banners if it's a MLA's birthday the whole metro brideges will just filled with their posters promote the app that way so the both accountability & transparency will become better 🤔,0,,2026-07-11 02:37:36,
MCGM 24x7,in.cdac.gov.mgov.mcgm,cef89a08-3a57-42b6-bda4-ce23b2ce6cf1,A Google user,1,worst app,0,,2026-07-08 11:43:56,
MCGM 24x7,in.cdac.gov.mgov.mcgm,5fed5c8f-dc2a-49ae-a31a-36e78498fa51,A Google user,1,complaint register hotch nahi,0,8.71,2026-07-05 19:39:48,
MCGM 24x7,in.cdac.gov.mgov.mcgm,aa18438c-c0e1-468f-9282-80031617a004,A Google user,1,"It just looks like a fooling app. Wasted a lot of time on it as it asks for login, verifies OTP and then again asks for login without any error message.",0,8.71,2026-06-28 21:25:11,
